,date,open,close,high,low,volume,code
3246,2018/8/10,3398.41,3405.02,3424.04,3380.57,68967299,hs300
3247,2018/8/13,3369.98,3390.34,3396.19,3336.7,76191532,hs300
3248,2018/8/14,3386.48,3372.91,3391.73,3356.61,60651446,hs300
3249,2018/8/15,3371.96,3291.98,3372.14,3288.71,68174055,hs300
3250,2018/8/16,3251.86,3276.73,3315.2,3231.56,76547366,hs300
3251,2018/8/17,3305.9,3229.62,3311.57,3224.1,67395413,hs300
3252,2018/8/20,3238.22,3267.25,3267.25,3209.01,70904228,hs300
3253,2018/8/21,3271.84,3326.65,3331.71,3270.03,75205583,hs300
3254,2018/8/22,3328.97,3307.95,3328.97,3299.39,50787057,hs300
3255,2018/8/23,3308.46,3320.03,3336.11,3285.81,61112334,hs300
3256,2018/8/24,3308.48,3325.33,3353.04,3291.87,63765897,hs300
3257,2018/8/27,3339.39,3406.57,3406.57,3339.26,94270082,hs300
3258,2018/8/28,3408.15,3400.17,3416.59,3388.81,75445363,hs300
3259,2018/8/29,3393.05,3386.57,3398.71,3377.12,67020404,hs300
3260,2018/8/30,3385.81,3351.09,3402.56,3349.47,68385290,hs300
3261,2018/8/31,3333.38,3334.5,3356.58,3310.87,76205630,hs300
3262,2018/9/3,3320.69,3321.82,3325.61,3291.78,66429855,hs300
3263,2018/9/4,3324.19,3363.9,3370.96,3307.96,67088807,hs300
3264,2018/9/5,3349.7,3298.14,3354.2,3298.14,64301888,hs300
3265,2018/9/6,3286.66,3262.88,3311.5,3253.76,62300288,hs300
3266,2018/9/7,3273.89,3277.64,3316.61,3253.73,63947408,hs300
3267,2018/9/10,3271.38,3230.07,3277.88,3227.85,63817051,hs300
3268,2018/9/11,3229.71,3224.21,3245.62,3209.11,58491305,hs300
3269,2018/9/12,3216.99,3202.02,3225.6,3194.98,54627899,hs300
3270,2018/9/13,3239.69,3236.57,3249.59,3191.4,67290327,hs300
3271,2018/9/14,3242.83,3242.09,3254.1,3227.94,60130640,hs300
3272,2018/9/17,3224.93,3204.92,3230.79,3200.51,52259547,hs300
3273,2018/9/18,3193.64,3269.43,3270.11,3193.64,70425035,hs300
3274,2018/9/19,3262,3312.48,3335.99,3258.31,89170666,hs300
3275,2018/9/20,3314.88,3310.13,3332.31,3303.07,64561057,hs300
3276,2018/9/21,3320.7,3410.49,3410.49,3307.77,108416005,hs300
3277,2018/9/25,3375.97,3379.8,3394.38,3367.03,69054693,hs300
3278,2018/9/26,3388.56,3417.24,3448.26,3383.24,93173343,hs300
3279,2018/9/27,3415.95,3403.59,3423.71,3394.73,69765241,hs300
3280,2018/9/28,3409.96,3438.86,3444.99,3404.7,84377756,hs300
3281,2018/10/8,3361.56,3290.9,3364.46,3285.25,97888989,hs300
3282,2018/10/9,3290.17,3288.69,3309.8,3276.13,66723274,hs300
3283,2018/10/10,3295.43,3281.6,3315.73,3256.58,64492828,hs300
3284,2018/10/11,3179.54,3124.11,3209.52,3099.04,120941342,hs300
3285,2018/10/12,3123.37,3170.73,3184.12,3094.97,98611151,hs300
3286,2018/10/15,3173.85,3126.45,3183.13,3120.23,69605023,hs300
3287,2018/10/16,3128.58,3100.97,3166.09,3089.37,68887721,hs300
3288,2018/10/17,3140.68,3118.25,3149.13,3062.55,76837138,hs300
3289,2018/10/18,3097.79,3044.39,3097.79,3043.38,73771968,hs300
3290,2018/10/19,3017.75,3134.95,3137.75,3009.5,98839688,hs300
3291,2018/10/22,3159.56,3270.27,3297.38,3159.56,145862045,hs300
3292,2018/10/23,3273.13,3183.43,3276.02,3163.57,121013241,hs300
3293,2018/10/24,3169.46,3188.2,3245.4,3164.29,110909744,hs300
3294,2018/10/25,3107.84,3194.31,3197.32,3099.89,106951817,hs300
3295,2018/10/26,3204.28,3173.64,3218.1,3151.92,101299354,hs300
3296,2018/10/29,3157.49,3076.89,3158.81,3062.58,91839789,hs300
3297,2018/10/30,3061.93,3110.26,3146.63,3050.77,116070101,hs300
3298,2018/10/31,3116.66,3153.82,3168.92,3106.03,111207455,hs300
3299,2018/11/1,3185.2,3177.03,3217.8,3173.1,132653379,hs300
3300,2018/11/2,3258.61,3290.25,3290.25,3222.44,153466104,hs300
3301,2018/11/5,3269.47,3262.84,3279.88,3230.36,109706683,hs300
