date,high,low,open,close,volume,code
2022.03.02,12.27,10.92,10.98,12.27,50041453,002317.SZ
2022.03.03,13.27,12.01,12.31,12.55,66782997,002317.SZ
2022.03.04,13.06,12.24,12.54,12.31,42584264,002317.SZ
2022.03.07,12.52,11.88,12.25,12.04,31528879,002317.SZ
2022.03.08,12.04,11.18,12.04,11.24,40991981,002317.SZ
2022.03.09,11.46,10.66,11.31,11.18,25172545,002317.SZ
2022.03.10,12.2,11.26,11.52,11.87,41311067,002317.SZ
2022.03.11,13.06,11.88,11.97,13.06,44784915,002317.SZ
2022.03.14,14.37,13.18,13.87,13.88,115876260,002317.SZ
2022.03.15,14.62,13.02,13.3,13.5,91613901,002317.SZ
2022.03.16,14.37,12.9,14.15,13.74,76937118,002317.SZ
2022.03.17,14.41,13.05,13.3,13.5,83009831,002317.SZ
2022.03.18,14.85,13.1,13.3,14.85,73769360,002317.SZ
2022.03.21,16.34,15.45,15.97,16.34,41608498,002317.SZ
2022.03.22,17.97,15.7,17.97,17.52,181970315,002317.SZ
2022.03.23,19.27,16.71,17.2,18.6,192383843,002317.SZ
2022.03.24,19.36,17.7,18.7,17.78,165221992,002317.SZ
2022.03.25,18.04,16.07,17.26,16.1,149940345,002317.SZ
2022.03.28,17.0,15.46,16.73,16.54,117257844,002317.SZ
2022.03.29,16.8,15.76,16.38,15.92,87281311,002317.SZ
2022.03.30,17.51,15.28,15.74,17.05,134348979,002317.SZ
2022.03.31,17.58,15.95,17.0,16.5,110185849,002317.SZ
2022.04.01,16.7,15.6,16.03,15.8,62838426,002317.SZ
2022.04.06,16.62,15.75,16.0,16.06,49879525,002317.SZ
2022.04.07,16.36,15.28,15.72,15.32,47282961,002317.SZ
2022.04.08,15.45,14.18,15.12,14.77,59598746,002317.SZ
2022.04.11,15.35,14.51,14.78,15.04,37028132,002317.SZ
2022.04.12,15.13,14.57,14.77,14.84,27369762,002317.SZ
2022.04.13,14.92,13.92,14.66,14.3,32266965,002317.SZ
2022.04.14,15.06,14.36,14.36,14.7,24084971,002317.SZ
2022.04.15,16.17,14.43,14.5,16.17,49457758,002317.SZ
2022.04.18,17.5,15.93,16.17,16.68,61999977,002317.SZ
2022.04.19,16.8,15.84,16.55,16.44,37269733,002317.SZ
2022.04.20,16.77,15.75,16.13,15.84,32078801,002317.SZ
2022.04.21,17.4,15.71,15.71,16.3,43416149,002317.SZ
2022.04.22,16.77,14.67,16.5,14.67,46077962,002317.SZ
2022.04.25,14.67,13.52,13.72,14.13,39299942,002317.SZ
2022.04.26,14.85,13.28,14.15,13.45,38455770,002317.SZ
2022.04.27,13.5,12.5,13.25,13.34,34176478,002317.SZ
2022.04.28,14.38,12.89,13.43,13.7,39806862,002317.SZ
2022.04.29,14.92,13.18,13.18,14.82,40364576,002317.SZ
2022.05.05,15.88,14.44,14.57,15.74,37057105,002317.SZ
2022.05.06,16.21,15.1,15.24,15.56,34570136,002317.SZ
2022.05.09,16.76,15.31,15.55,16.76,38604629,002317.SZ
2022.05.10,16.74,15.78,16.41,16.18,43003868,002317.SZ
2022.05.11,17.59,16.01,16.8,16.88,63719798,002317.SZ
2022.05.12,18.57,17.76,18.36,18.57,94786162,002317.SZ
2022.05.13,19.79,17.25,18.77,17.53,119572905,002317.SZ
2022.05.16,19.1,17.13,19.09,17.97,117214893,002317.SZ
2022.05.17,18.17,16.17,18.1,16.17,76593596,002317.SZ
2022.05.18,15.86,14.95,15.4,15.04,67128818,002317.SZ
2022.05.19,16.54,14.65,14.73,16.54,67610579,002317.SZ
2022.05.20,17.13,15.97,16.6,16.77,85614909,002317.SZ
2022.05.23,17.96,17.07,17.2,17.48,64435563,002317.SZ
2022.05.24,17.42,15.82,17.37,15.87,61817290,002317.SZ
2022.05.25,16.69,15.88,16.35,16.52,48061848,002317.SZ
2022.05.26,16.85,16.0,16.36,16.25,39586485,002317.SZ
2022.05.27,16.54,15.72,16.15,16.0,35287851,002317.SZ
2022.05.30,15.88,14.9,15.87,15.26,39809272,002317.SZ
2022.05.31,15.6,14.5,15.31,15.42,36645674,002317.SZ
2022.06.01,15.76,14.8,15.4,14.95,29769872,002317.SZ
2022.06.02,15.1,14.44,14.95,14.46,28932069,002317.SZ
2022.06.06,14.42,13.9,14.32,14.21,30253934,002317.SZ
2022.06.07,15.28,14.11,14.3,15.16,51450831,002317.SZ
2022.06.08,14.92,14.38,14.89,14.6,33325992,002317.SZ
2022.06.09,14.86,14.2,14.49,14.28,20336672,002317.SZ
2022.06.10,15.35,14.33,14.36,14.9,35737317,002317.SZ
2022.06.13,15.3,14.57,14.9,15.05,32243696,002317.SZ
2022.06.14,14.95,14.4,14.8,14.75,19532770,002317.SZ
2022.06.15,14.89,14.36,14.76,14.38,21134668,002317.SZ
