comment,date
招商南油涨停 3机构龙虎榜上净买入176亿元,2022/11/6
开盘跑,2022/11/6
注意上午洗首板客哈哈哈,2022/11/6
空间很大1020个点,2022/11/6
说说我的看法吧,2022/11/6
20日均线,2022/11/6
叫你们炒股你们非要做什么老师做老师赚钱还是炒股赚钱炒股能赚钱还做什么老师捂,2022/11/6
周末唱空全是看涨的没有附和的看来都集体看多了你们看多那我必须走我有8,2022/11/5
从欧洲人买爆中国电热毯到朔尔茨访华,2022/11/5
下跌一浪,2022/11/5
第四季度业绩更靓丽,2022/11/5
喊涨停的应该是狗托骗子吧,2022/11/5
尾盘拉板第二天基本一地鸡毛有本事白天拉偷袭算什么本事看我下周一砸不砸你就,2022/11/5
下周一我再买回来周五出了太多了,2022/11/5
牛股永不倒继续新高,2022/11/5
我看了一下这几天的骚操作成本价越搞越高竟然不在图片里的范围了怒笑哭捂脸,2022/11/5
这熊股必定会创历史新高已经连续两次大跌第二天能高开四五个点说明主力资金护盘拉,2022/11/5
周四费率,2022/11/5
十大股东走了九个,2022/11/5
真的很怕华泰这个量化席位买了4000多砸盘应该挺疼的你们怎么看,2022/11/5
11月5日周评周线长阳包阴下周短线震荡,2022/11/5
周一继续板吧微笑,2022/11/5
这个群里的招商南油不涨说退市涨了说会跌停机构买入涨停又说会第二天跌停一,2022/11/5
下周该调整了,2022/11/5
南油和轮船刚公告说合开三季度会就同时涨停真的只是一起开个会这么简单,2022/11/5
剧情如期而至,2022/11/5
518卖飞530又接回来了主力主力主力,2022/11/5
油轮复苏势头强劲公司业绩弹性巨大,2022/11/5
一日游活动周一结束不信你试试吧不过低开5个点可以进入游戏,2022/11/5
真服了自己了成本又整高三分钱,2022/11/5
周五费率,2022/11/5
评选2022年十大热门牛股非招商南油莫属这个月能过7元将上热搜榜尽情关注近,2022/11/5
量还是不够啊不看好的人赶紧抛一抛吧看来大家还是很珍惜筹码嘛,2022/11/5
蝎子开盘就飙稳住的话明天南油就稳了,2022/11/5
招商南油融资净偿还469456万元融资余额681亿元1104,2022/11/5
518走完了主力主力主力,2022/11/5
海能轮船依次出利好南油明天是不是该出一个了呲牙,2022/11/5
上两天把你卖了感觉亏了但是我转手去买了血赚啊大笑大笑,2022/11/4
操昨天尾盘买少了才买了二万股南油必上七块,2022/11/4
利润预期已炒的差不多现在是重组预期了摊手上涨,2022/11/4
想啥这风头继续走,2022/11/4
那个上帝的眷顾拿着一张图吹了好久牛呗,2022/11/4
说了好久回购现在还在涨竟然还涨停了邪乎,2022/11/4
先看6再看7,2022/11/4
机构吃了外资的货看高一线最少到7块钱加油,2022/11/4
越看越像三联板旺柴,2022/11/4
下周会怎么样今天涨得很多也不是特别强嘛,2022/11/4
抢筹啊兄弟们,2022/11/4
好多机构都是一日游砸盘对他们来讲就是家常便饭机构走后一片狼藉所以真心不欢迎,2022/11/4
前几天大跌停的时候海能没跌停昨天海能涨停这个比8差2今天这比又比海,2022/11/4
